OccurenceID,EventDate,scientificName,vernacularName,individualCount,DecimalLatitude,DecimalLongitude,app_used,collectionID,occurenceStatus,basisOfRecord,scientificNameID,footprintWKT,geom,in_ocean
53812,2018-06-20 18:12:23+00:00,Megaptera novaeangliae,Humpback,5,58.284348,-135.837546,whale_alert,17405,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-135.837546 58.284348),,1
54013,2018-06-26 17:30:26+00:00,Delphinus capensis,Common Long-Beaked Dolphin,5,34.175025,-119.310286,spotter_pro,17513,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.310286 34.175025),,1
54010,2018-06-26 18:03:18+00:00,Balaenoptera acutorostrata,Bottlenose Dolphin,5,34.039927,-119.354916,spotter_pro,17513,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.354916 34.039927),,1
54057,2018-06-27 18:52:54+00:00,Balaenoptera musculus,Blue Whale,5,34.126625,-119.817079,spotter_pro,17529,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137090,POINT (-119.817079 34.126625),,1
54199,2018-06-30 18:19:56+00:00,Balaenoptera musculus,Blue Whale,5,34.124663,-119.821999,whale_alert,17626,,HumanObservation,urn:lsid:marinespecies.org:taxname:137090,POINT (-119.821999 34.124663),,1
54203,2018-06-30 19:13:10+00:00,Balaenoptera musculus,Blue Whale,5,34.125205,-119.819686,spotter_pro,17630,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137090,POINT (-119.819686 34.125205),,1
54256,2018-07-01 21:14:25+00:00,Megaptera novaeangliae,Humpback Whale,5,34.287053,-119.747223,spotter_pro,17652,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.747223 34.287053),,1
54687,2018-07-10 21:00:00+00:00,Megaptera novaeangliae,Humpback,5,58.85604,-136.67206,whale_alert,17901,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-136.67206 58.85604),,1
54802,2018-07-13 15:17:00+00:00,Megaptera novaeangliae,Humpback,5,58.59535,-135.98722,whale_alert,17973,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-135.98722 58.59535),,1
54865,2018-07-14 14:32:04+00:00,Delphinapterus leucas,Beluga,5,47.886396,-69.584087,whale_alert,18025,,HumanObservation,urn:lsid:marinespecies.org:taxname:137115,POINT (-69.584087 47.886396),,1
54998,2018-07-18 02:20:00+00:00,Megaptera novaeangliae,Humpback,5,57.00413,-135.53741,whale_alert,18116,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-135.53741 57.00413),,1
55169,2018-07-22 19:36:00+00:00,Balaenoptera physalus,Finback Whale,5,59.06755,-142.593,whale_alert,18204,,HumanObservation,urn:lsid:marinespecies.org:taxname:137091,POINT (-142.593 59.06755),,1
55297,2018-07-24 17:15:00+00:00,Megaptera novaeangliae,Humpback,5,58.58688,-135.97099,whale_alert,18261,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-135.97099 58.58688),,1
55265,2018-07-24 18:15:00+00:00,Orcinus orca,Killer Whale (Orca),5,58.99725,-135.21348,whale_alert,18248,,HumanObservation,urn:lsid:marinespecies.org:taxname:137102,POINT (-135.21348 58.99725),,1
55520,2018-07-29 17:29:00+00:00,Megaptera novaeangliae,Humpback,5,36.68738,-121.82528,whale_alert,18431,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-121.82528 36.68738),,1
55521,2018-07-29 17:31:55+00:00,Megaptera novaeangliae,Humpback,5,36.6874,-121.826373,whale_alert,18432,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-121.826373 36.6874),,1
55522,2018-07-29 17:35:00+00:00,Megaptera novaeangliae,Humpback,5,36.68653,-121.82682,whale_alert,18433,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-121.82682 36.68653),,1
55543,2018-07-30 03:38:00+00:00,Megaptera novaeangliae,Humpback,5,57.728,-133.60962,whale_alert,18449,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-133.60962 57.728),,1
55588,2018-07-30 17:11:00+00:00,Orcinus orca,Killer Whale (Orca),5,58.18986,-135.10179,whale_alert,18502,,HumanObservation,urn:lsid:marinespecies.org:taxname:137102,POINT (-135.10179 58.18986),,1
55622,2018-07-31 01:19:00+00:00,Orcinus orca,Killer Whale (Orca),5,58.41787,-134.95943,whale_alert,18543,,HumanObservation,urn:lsid:marinespecies.org:taxname:137102,POINT (-134.95943 58.41787),,1
55661,2018-07-31 17:56:00+00:00,Orcinus orca,Killer Whale (Orca),5,58.95441,-135.18007,whale_alert,18571,,HumanObservation,urn:lsid:marinespecies.org:taxname:137102,POINT (-135.18007 58.95441),,1
55972,2018-08-03 21:39:50+00:00,Megaptera novaeangliae,Humpback,5,36.623422,-121.853458,whale_alert,18704,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-121.853458 36.623422),,1
56401,2018-08-11 20:29:34+00:00,Megaptera novaeangliae,Humpback,5,37.402597,-122.914594,whale_alert,19022,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-122.914594 37.402597),,1
56490,2018-08-13 19:01:47+00:00,Megaptera novaeangliae,Humpback,5,36.622389,-122.020312,whale_alert,19075,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-122.020312 36.622389),,1
56582,2018-08-15 22:15:49+00:00,Balaenoptera musculus,Blue Whale,5,36.509549,-122.00714,whale_alert,19131,,HumanObservation,urn:lsid:marinespecies.org:taxname:137090,POINT (-122.00714 36.509549),,1
56777,2018-08-19 19:24:01+00:00,Megaptera novaeangliae,Humpback Whale,5,34.177896,-119.933676,spotter_pro,19290,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.933676 34.177896),,1
56887,2018-08-22 20:48:28+00:00,Megaptera novaeangliae,Humpback,5,35.349787,-120.892647,whale_alert,19365,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-120.892647 35.349787),,1
57059,2018-08-26 15:52:49+00:00,Megaptera novaeangliae,Humpback,5,36.660929,-121.975464,whale_alert,19497,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-121.975464 36.660929),,1
57272,2018-08-30 18:48:47+00:00,Balaenoptera musculus,Blue Whale,5,36.651583,-121.994504,whale_alert,19687,,HumanObservation,urn:lsid:marinespecies.org:taxname:137090,POINT (-121.994504 36.651583),,1
57312,2018-08-31 16:26:00+00:00,Grampus griseus,Risso's Dolphin,5,36.67682,-122.00116,whale_alert,19707,,HumanObservation,urn:lsid:marinespecies.org:taxname:137098,POINT (-122.00116 36.67682),,1
57318,2018-08-31 17:45:37+00:00,Orcinus orca,Killer Whale (Orca),5,48.766499,-123.321999,whale_alert,19713,,HumanObservation,urn:lsid:marinespecies.org:taxname:137102,POINT (-123.321999 48.766499),,1
57377,2018-09-02 18:27:00+00:00,Megaptera novaeangliae,Humpback,5,42.69328,-70.52549,whale_alert,19763,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-70.52549 42.69328),,1
57595,2018-09-07 17:57:00+00:00,Orcinus orca,Killer Whale (Orca),5,59.01063,-136.96359,whale_alert,19956,,HumanObservation,urn:lsid:marinespecies.org:taxname:137102,POINT (-136.96359 59.01063),,1
57589,2018-09-07 21:35:54+00:00,Megaptera novaeangliae,Humpback,5,36.673431,-121.856116,whale_alert,19952,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-121.856116 36.673431),,1
57919,2018-09-14 18:57:15+00:00,Grampus griseus,Risso's Dolphin,5,34.165176,-119.899477,spotter_pro,20146,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137098,POINT (-119.899477 34.165176),,1
57941,2018-09-15 14:33:50+00:00,Megaptera novaeangliae,Humpback,5,36.669698,-121.926137,whale_alert,20164,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-121.926137 36.669698),,1
